In the name of GOD, Most Gracious, Most Merciful.|[Quran 1:1]
Do they have gods who can protect them from us? They cannot even help themselves. Nor can they accompany one another when they are summoned to face us. |[Sura 21:43]
We have provided for these people and their ancestors, up until an old age. Do they not see that every day on earth brings them closer to the end? Can they reverse this process?|[Sura 21:44]

Say, "I am warning you in accordance with divine inspiration." However, the deaf cannot hear the call, when they are warned. |[Sura 21:45]
When a sample of your Lord's retribution afflicts them, they readily say, "We were indeed wicked." |[Sura 21:46]
We will establish the scales of  justice on the Day of Resurrection. No soul will suffer the least injustice.  Even the equivalent of a mustard seed will be accounted for.  We are the most efficient reckoners. |[Sura 21:47]
We gave Moses and Aaron the Statute Book, a beacon, and a reminder for the righteous. |[Sura 21:48]
The ones who reverence their Lord, even when alone in their privacy, and they worry about the Hour. |[Sura 21:49]
This too is a blessed reminder that we sent down. Are you denying it? |[Sura 21:50]
Before that, we granted Abraham his guidance and understanding, for we were fully aware of him. |[Sura 21:51]
He said to his father and his people, "What are these statues to which you are devoting yourselves?" |[Sura 21:52]
They said, "We found our parents worshiping them." |[Sura 21:53]
He said, "Indeed, you and your parents have gone totally astray." |[Sura 21:54]
They said, "Are you telling us the truth, or are you playing?" |[Sura 21:55]
He said, "Your only Lord is the Lord of the heavens and the earth, who created them. This is the testimony to which I bear witness. |[Sura 21:56]
"I swear by GOD, I have a plan to deal with your  statues, as soon as you leave." |[Sura 21:57]
He broke them into pieces, except for a big one,  that they may refer to it. |[Sura 21:58]
They said, "Whoever did this to our gods is really a transgressor." |[Sura 21:59]
They said, "We heard a youth threaten them; he is called Abraham." |[Sura 21:60]
They said, "Bring him before the eyes of all the people, that they may bear witness." |[Sura 21:61]
They said, "Did you do this to our gods, O Abraham?" |[Sura 21:62]
He said, "It is that big one who did it. Go ask them, if they can speak." |[Sura 21:63]
They were taken aback, and said to themselves, "Indeed, you are the ones who have been transgressing." |[Sura 21:64]
Yet, they reverted to their old ideas: "You know full well that these cannot speak."  |[Sura 21:65]
He said, "Do you then worship beside GOD what possesses no power to benefit you or harm you? |[Sura 21:66]
"You have incurred shame by worshiping idols beside GOD. Do you not understand?" |[Sura 21:67]
They said, "Burn him and support your gods, if this is what you decide to do." |[Sura 21:68]
We said, "O fire, be cool and safe for Abraham." |[Sura 21:69]
Thus, they schemed against him, but we made them the losers. |[Sura 21:70]
We saved him, and we saved Lot, to the land that we blessed for all the people. |[Sura 21:71]
And we granted him Isaac and Jacob as a gift, and we made them both righteous. |[Sura 21:72]
We made them imams who guided in accordance with our commandments, and we taught them how to work righteousness, and how to observe the Contact Prayers (Salat) and the obligatory charity (Zakat). To us, they were devoted worshipers. |[Sura 21:73]
As for Lot, we granted him wisdom and knowledge, and we saved him from the community that practiced abominations; they were wicked and evil people. |[Sura 21:74]
We admitted him into our mercy, for he was righteous. |[Sura 21:75]
And, before that, Noah called and we responded to him. We saved him and his family from the great disaster. |[Sura 21:76]
We supported him against the people who rejected our revelations. They were evil people, so we drowned them all. |[Sura 21:77]
And David and Solomon, when they once ruled with regard to someone's crop that was destroyed by another's sheep, we witnessed their judgment. |[Sura 21:78]
We granted Solomon the correct understanding, though we endowed both of them with wisdom and knowledge. We committed the mountains to serve David in glorifying (God), as well as the birds. This is what we did. |[Sura 21:79]
And we taught him the skill of making shields to protect you in war. Are you then thankful? |[Sura 21:80]
For Solomon, we committed the wind gusting  and blowing at his disposal. He could direct it as he wished,  to whatever land he chose, and we blessed such land for him.  We are fully aware of all things. |[Sura 21:81]
And of the devils there were those who would dive for him (to harvest the sea), or do whatever else he commanded them  to do. We committed them in his service. |[Sura 21:82]
And Job implored his Lord: "Adversity has befallen me, and, of all the merciful ones, You are the Most Merciful." |[Sura 21:83]
We responded to him, relieved his adversity, and restored his family for him, even twice as much. That was a mercy from us, and a reminder for the worshipers. |[Sura 21:84]
Also, Ismail, Idris, Zal-Kifl; all were steadfast, patient. |[Sura 21:85]
We admitted them into our mercy, for they were righteous. |[Sura 21:86]
And Zan-Noon (Jonah, "the one with an `N' in his name"), abandoned his mission in protest, thinking that we could not control him. He ended up imploring from the darkness (of the big fish's belly): "There is no god other than You. Be You glorified. I have committed a gross sin." |[Sura 21:87]
We responded to him, and saved him from the crisis; we thus save the believers. |[Sura 21:88]
And Zachariah implored his Lord: "My Lord, do not keep me without an heir, though You are the best inheritor." |[Sura 21:89]
We responded to him and granted him John; we fixed his wife for  him. That is because they used to hasten to work righteousness, and implored us in situations of joy, as well as fear. To us, they were reverent. |[Sura 21:90]
As for the one who maintained her virginity, we blew into her from our spirit, and thus, we made her and her son a portent for the whole world. |[Sura 21:91]
Your congregation is but one congregation, and I alone am your  Lord; you shall worship Me alone. |[Sura 21:92]
However, they divided themselves into disputing religions. All  of them will come back to us (for judgment). |[Sura 21:93]
As for those who work righteous- ness, while believing, their work will not go to waste; we are recording it. |[Sura 21:94]
It is forbidden for any community we had annihilated to return. |[Sura 21:95]
Not until Gog and Magog reap- pear, will they then return-they will come from every direction. |[Sura 21:96]
That is when the inevitable pro- phecy will come to pass, and the dis- believers will stare in horror:  "Woe to us; we have been oblivious. Indeed, we have been wicked." |[Sura 21:97]
You and the idols you worship besides GOD will be fuel for Hell; this is your inevitable destiny. |[Sura 21:98]
If those were gods, they would not have ended up in Hell. All its inhabitants abide in it forever. |[Sura 21:99]
They will sigh and groan therein,  and they will have no access to any news. |[Sura 21:100]
As for those who deserved our magnificent rewards, they will be protected from it. |[Sura 21:101]
They will not hear its hissing. They will enjoy an abode where they can get everything they desire, forever. |[Sura 21:102]
The great horror will not worry them, and the angels will receive them joyfully: "This is your day, that has been promised to you." |[Sura 21:103]
On that day, we will fold the heaven, like the folding of a book. Just as we initiated the first creation, we will repeat it. This is our promise; we will certainly carry it out. |[Sura 21:104]
We have decreed in the Psalms, as well as in other scriptures, that the earth shall be inherited by My righteous worshipers. |[Sura 21:105]
This is a proclamation for people who are worshipers. |[Sura 21:106]
We have sent you out of mercy from us towards the whole world. |[Sura 21:107]
Proclaim, "I have been given divine inspiration that your god is one god. Will you then submit?" |[Sura 21:108]
If they turn away, then say, "I have warned you sufficiently, and I have no idea how soon or late (the retribution) will come to you. |[Sura 21:109]
"He is fully aware of your public utterances, and He is fully aware of everything you conceal. |[Sura 21:110]
"For all that I know, this world is a test for you,  and a temporary enjoyment." |[Sura 21:111]
Say, "My Lord, Your judgment is the absolute justice. Our Lord is the Most Gracious; only His help is sought in the face of your claims."|[Sura 21:112]
O people, you shall reverence your Lord, for the quaking of the Hour is something horrendous. |[Sura 22:1]
The day you witness it, even a nursing mother will discard her  infant, and a pregnant woman will abort her fetus. You will see the people staggering, as if they are intoxicated, even though they are not intoxicated. This is because GOD's retribution is so awesome. |[Sura 22:2]
Among the people, there are those who argue about GOD without knowledge, and follow every rebellious devil. |[Sura 22:3]
It is decreed that anyone who allies himself with him, he will mislead him and guide him to the agony of Hell. |[Sura 22:4]
O people, if you have any doubt about resurrection, (remember that) we created you from dust, and subsequently from a tiny drop, which turns into a hanging (embryo), then it becomes a fetus that is given life or deemed lifeless. We thus clarify things for you. We settle in the wombs whatever we will for a predetermined period. We then bring you out as infants, then you reach maturity. While some of you die young, others live to the worst age, only to find out that no more knowledge can be attained  beyond a certain limit. Also, you look at a land that is dead,  then as soon as we shower it with water, it vibrates with life and grows all kinds of beautiful plants. |[Sura 22:5]
This proves that GOD is the Truth, and that He revives  the dead, and that He is Omnipotent. |[Sura 22:6]
And that the Hour is coming, no doubt about it, and that GOD resurrects those who are in the graves. |[Sura 22:7]
Among the people there is the one who argues about GOD without knowledge, and without guidance, and without an enlightening scripture. |[Sura 22:8]
Arrogantly he strives to divert the people from the path of GOD. He thus incurs humiliation in this life, and we commit him on the Day of Resurrection to the agony of burning. |[Sura 22:9]
This is what your hands have sent ahead for you. GOD is never unjust towards the people. |[Sura 22:10]
Among the people there is the one who worships GOD conditionally. If things go his way, he is content. But if some adversity befalls him, he makes an about-face. Thus, he loses both this life and the Hereafter. Such is the real loss. |[Sura 22:11]
He idolizes beside GOD what posses- ses no power to harm him or benefit him; such is the real straying. |[Sura 22:12]
He idolizes what is more apt to harm him than benefit him. What a miserable lord! What a miserable companion! |[Sura 22:13]
GOD admits those who believe and lead a righteous  life into gardens with flowing streams.  Everything is in accordance with GOD's will. |[Sura 22:14]
If anyone thinks that GOD cannot support him in this life and in the Hereafter, let him turn completely to (his creator in) heaven, and sever (his dependence on anyone else). He will then see that this plan eliminates anything that bothers him.|[Sura 22:15]
We have thus revealed clear revelations herein, then GOD guides whoever wills (to be guided). |[Sura 22:16]
Those who believe, those who are Jewish, the converts, the Christians, the Zoroastrians, and the idol worshipers, GOD is the One who will judge among them on the Day of Resurrection. GOD witnesses all things. |[Sura 22:17]
Do you not realize that to GOD prostrates everyone in the heavens and the earth, and the sun, and the moon, and the stars, and the moun- tains, and the trees, and the animals, and many people? Many others among the people are committed to doom. Whomever GOD shames, none will honor him. Everything is in accordance with GOD's will. |[Sura 22:18]
Here are two parties feuding with regard to their Lord. As for those who disbelieve, they will have clothes of fire tailored for them. Hellish liquid will be poured on top of their heads. |[Sura 22:19]
It will cause their insides to melt, as well as their skins. |[Sura 22:20]
They will be confined in iron pots. |[Sura 22:21]
Whenever they try to exit such misery, they will be forced back in: "Taste the agony of burning." |[Sura 22:22]
GOD will admit those who believe  and lead a righteous life into gardens with flowing streams. They will be adorned therein with bracelets  of gold, and pearls, and their garments therein will be silk. |[Sura 22:23]
They have been guided to the good words; they have been guided in the path of the Most Praised. |[Sura 22:24]
Surely, those who disbelieve and repulse others from the path of GOD, and from the Sacred Masjid that we designated for all the people- be they natives or visitors- and seek to pollute it and corrupt it, we will afflict them with painful retribution. |[Sura 22:25]
We appointed Abraham to establish the Shrine: "You shall not idolize any other god beside Me, and purify My shrine for those who visit it, those who live near it, and those who bow and prostrate. |[Sura 22:26]
"And proclaim that the people shall observe Hajj pilgrimage. They will come to you walking or riding on various exhausted (means of transportation). They will come from the farthest locations." |[Sura 22:27]
They may seek commercial benefits, and they shall commemorate GOD's name during the specified days for providing them with livestock. "Eat therefrom and feed the despondent and the poor." |[Sura 22:28]
They shall complete their obligations, fulfill their vows, and visit the ancient shrine. |[Sura 22:29]
Those who reverence the rites decreed by GOD have deserved a good reward at their Lord. All livestock is made lawful for your food, except for those specifically prohibited for you. You shall avoid the abomination of idol worship, and avoid bearing false witness. |[Sura 22:30]
You shall maintain your devotion absolutely to GOD alone. Anyone who sets up any idol beside GOD is like one who fell from  the sky, then gets snatched up by vultures, or blown away  by the wind into a deep ravine. |[Sura 22:31]
Indeed, those who reverence the rites decreed by GOD demonstrate the righteousness of their hearts. |[Sura 22:32]
The (livestock) provide you with many benefits for a period, before being donated to the ancient shrine. |[Sura 22:33]
For each congregation we have decreed rites whereby they com- memorate the name of GOD for providing them with the livestock. Your god is one and the same god; you shall all submit to Him. Give good news to the obedient. |[Sura 22:34]
They are the ones whose hearts tremble upon mentioning GOD, they steadfastly persevere during adversity, they observe the Contact Prayers (Salat), and from our provisions to them, they give to charity. |[Sura 22:35]
The animal offerings are among the rites decreed by GOD for your own good. You shall mention GOD's name on them while they are stand- ing in line. Once they are offered for sacrifice, you shall eat therefrom and feed the poor and the needy. This is why we subdued them for you, that you may show your appreciation. |[Sura 22:36]
Neither their meat, nor their blood reaches GOD. What  reaches Him is your righteousness. He has subdued  them for you, that you may show your  appreciation by glorifying GOD for guiding you. Give good news to the charitable. |[Sura 22:37]
GOD defends those who believe. GOD does not love any betrayer, unappreciative. |[Sura 22:38]
Permission is granted to those who are being persecuted, since injustice has befallen them, and GOD is certainly able to support them. |[Sura 22:39]
They were evicted from their homes unjustly, for no reason other than saying, "Our Lord is GOD." If it were not for GOD's supporting of some people against others, monasteries, churches, synagogues, and masjids-where the name of GOD is commemorated frequently- would have been destroyed. Absolutely, GOD supports those who support Him. GOD is Powerful, Almighty. |[Sura 22:40]
They are those who, if we appointed them as rulers on earth, they would establish the Contact Prayers (Salat) and the obligatory charity (Zakat), and would advocate righteousness and forbid evil. GOD is the ultimate ruler. |[Sura 22:41]
If they reject you, the people of Noah, `Ad, and Thamud have also disbelieved before them. |[Sura 22:42]
Also the people of Abraham, and the people of Lot. |[Sura 22:43]
And the dwellers of Midyan. Moses was also rejected. I led all those people on, then I called them to account; how (devastating) was My requital! |[Sura 22:44]
Many a community we have annihilated because of their wickedness. They ended up in ruins, stilled wells, and great empty mansions. |[Sura 22:45]
Did they not roam the earth, then use their minds to understand, and use their ears to hear? Indeed, the real blindness is not the blindness of the eyes, but the blindness of the hearts inside the chests.|[Sura 22:46]
They challenge you to bring retribution,  and GOD never fails to fulfill His prophecy. A day of your Lord  is like a thousand of your years. |[Sura 22:47]
Many a community in the past committed evil, and I led them on  for awhile, then I punished them. To Me is the ultimate destiny. |[Sura 22:48]
Say, "O people, I have been sent to you as a profound warner." |[Sura 22:49]
Those who believe and lead a  righteous life have deserved forgiveness and a generous recompense. |[Sura 22:50]
As for those who strive to challenge our revelations, they incur Hell. |[Sura 22:51]
We did not send before you any messenger, nor a prophet, without having the devil interfere in his wishes. GOD then nullifies what the devil has done. GOD perfects His revelations. GOD is Omniscient, Most Wise. |[Sura 22:52]
He thus sets up the devil's scheme as a test for those who harbor doubts in their hearts, and those whose hearts are hardened. The wicked must remain with the opposition. |[Sura 22:53]
Those who are blessed with knowl- edge will recognize the truth from your Lord, then believe in it, and their hearts will readily accept it. Most assuredly, GOD guides the believers in the right path. |[Sura 22:54]
As for those who disbelieve, they will continue to harbor doubts  until the Hour comes to them suddenly, or until the retribution  of a terrible day comes to them. |[Sura 22:55]
All sovereignty on that day belongs to GOD, and He will judge among them. As for those who believe and lead a righteous life, they have deserved the gardens of bliss. |[Sura 22:56]
While those who disbelieved and rejected our revelations have incurred a shameful retribution. Striving in the Cause of God |[Sura 22:57]
Those who emigrate for the sake of GOD, then get killed, or die, GOD will surely shower them with good provisions. GOD is certainly the best Provider. |[Sura 22:58]
Most assuredly, He will admit them an admittance that will please them. GOD is Omniscient, Clement. |[Sura 22:59]
It is decreed that if one avenges an injustice that was inflicted upon him, equitably, then he is persecuted because of this, GOD will surely support him. GOD is Pardoner, Forgiving. |[Sura 22:60]
It is a fact that GOD merges the night into the day, and merges the day into the night, and that GOD is Hearer, Seer. |[Sura 22:61]
It is a fact that GOD is the Truth, while the setting up of any idols beside Him constitutes a falsehood, and that GOD is the Most High, the Supreme. |[Sura 22:62]
Do you not see that GOD sends down from the sky water that turns the land green? GOD is Sublime, Cognizant. |[Sura 22:63]
To Him belongs everything in the heavens and everything on earth. Absolutely, GOD is the Most Rich, Most Praiseworthy.|[Sura 22:64]
Do you not see that GOD has committed in your service everything on earth? The ships run in the ocean by His command. He prevents the heavenly bodies from crashing onto the earth, except in accordance with His command. GOD is Most Kind towards the people, Most Merciful. |[Sura 22:65]
He is the One who granted you life, then He puts you to death, then He brings you back to life. Surely, the human being is unappreciative. |[Sura 22:66]
For each congregation, we have decreed a set of rites that they must uphold. Therefore, they should not dispute with you. You shall continue to invite everyone to your Lord. Most assuredly, you are on the right path. |[Sura 22:67]
If they argue with you, then say, "GOD is fully aware of everything you do." |[Sura 22:68]
GOD will judge among you on the Day of Resurrection regarding all your disputes. |[Sura 22:69]
Do you not realize that GOD knows everything in the heavens and everything on earth? All this is recorded in a record. This is easy for GOD to do. |[Sura 22:70]
Yet, they idolize beside GOD idols wherein He placed no power, and they know nothing about them. The transgressors have no helper. |[Sura 22:71]
When our revelations are recited to them, clearly, you recognize wickedness on the faces of those who disbelieve. They almost attack those who recite our revelations to them. Say, "Shall I inform you of something much worse? Hell is promised by GOD for those who disbelieve; what a miserable destiny."|[Sura 22:72]
O people, here is a parable that you must ponder carefully: the idols you set up beside GOD can never create a fly, even if they banded together to do so. Furthermore, if the fly steals anything from them, they cannot recover it; weak is the pursuer and the pursued. |[Sura 22:73]
They do not value GOD as He should be valued. GOD is the Most Powerful, the Almighty. |[Sura 22:74]
GOD chooses from among the angels messengers, as well as from among the people. GOD is Hearer, Seer. |[Sura 22:75]
He knows their past and their future. To GOD belongs the ultimate control of all matters. |[Sura 22:76]
O you who believe, you shall bow, prostrate, worship your Lord, and work righteousness, that you may succeed. |[Sura 22:77]
You shall strive for the cause of GOD as you should strive for His cause. He has chosen you and has placed no hardship on you in practicing your religion-the religion of your father Abraham. He is the one who named you "Submitters" originally. Thus, the messenger shall serve as a witness among you, and you shall serve as witnesses among the people. Therefore, you shall observe the Contact Prayers (Salat) and give the obligatory charity (Zakat), and hold fast to GOD; He is your Lord, the best Lord and the best Supporter. |[Sura 22:78]
Successful indeed are the believers; |[Sura 23:1]
who are reverent during their Contact Prayers (Salat). |[Sura 23:2]
And they avoid vain talk. |[Sura 23:3]
And they give their obligatory charity (Zakat). |[Sura 23:4]
And they maintain their chastity. |[Sura 23:5]
Only with their spouses, or those who are rightfully theirs, do they have sexual relations; they are not to be blamed. |[Sura 23:6]
Those who transgress these limits are the transgressors. |[Sura 23:7]
When it comes to deposits entrusted to them, as well as any agreements they make, they are trustworthy. |[Sura 23:8]
And they observe their Contact Prayers (Salat) regularly. |[Sura 23:9]
Such are the inheritors. |[Sura 23:10]
They will inherit Paradise, wherein they abide forever. |[Sura 23:11]
We created the human being from a certain kind of mud. |[Sura 23:12]
Subsequently, we reproduced him from a tiny drop, that is placed into a well protected repository. |[Sura 23:13]
Then we developed the drop into a hanging (embryo), then  developed the hanging (embryo) into a bite-size (fetus),  then created the bite-size (fetus) into bones, then covered the bones with flesh. We thus produce a new creature. Most blessed is GOD, the best Creator. |[Sura 23:14]
Then, later on, you die. |[Sura 23:15]
Then, on the Day of Resurrection, you will be resurrected. |[Sura 23:16]
We created above you seven universes in layers, and we are never unaware of a single creature in them.|[Sura 23:17]
We send down from the sky water, in exact measure, then we store it in the ground. Certainly, we can let it escape. |[Sura 23:18]
With it, we produce for you orchards of date palms, grapes, all kinds of fruits, and various foods. |[Sura 23:19]
Also, a tree native to Sinai produces oil,  as well as relish for the eaters. |[Sura 23:20]

And the livestock should provide you with a lesson.  We let you drink (milk) from their bellies,  you derive other benefits from them,  and some of them you use for food. |[Sura 23:21]
On them, and on the ships, you ride. |[Sura 23:22]
We sent Noah to his people, saying, "O my people, worship GOD. You have no other god beside Him. Would you not be righteous?" |[Sura 23:23]
The leaders who disbelieved among his people said, "This is no more than a human like you, who wants to gain prominence among you. Had GOD willed, He could have sent down angels. We never heard of anything like this from our ancestors. |[Sura 23:24]
"He is simply a man gone crazy. Just ignore him for awhile." |[Sura 23:25]
He said, "My Lord, grant me victory, for they have disbelieved me." |[Sura 23:26]
We then inspired him: "Make the watercraft under our watchful eyes, and in accordance with our inspiration. When our command comes, and the atmosphere boils up, put on it a pair of every kind (of your domesticated animals), and your family, except those condemned to be doomed.  Do not speak to Me on behalf of those who transgressed;  they will be drowned. |[Sura 23:27]
"Once you are settled, together with those who are with you, on the watercraft, you shall say, `Praise GOD for saving us from the evil people.' |[Sura 23:28]
"And say, `My Lord, let me disembark onto a blessed location; You are the best deliverer.' " |[Sura 23:29]
These should provide sufficient proofs for you. We will certainly put you to the test. |[Sura 23:30]
Subsequently, we established another generation after them. |[Sura 23:31]
We sent to them a messenger from among them, saying, "You shall worship GOD. You have no other god beside Him. Would you not be righteous?" |[Sura 23:32]
The leaders among his people who disbelieved and rejected the idea of the Hereafter-although we provided for them generously in this life-said, "This is no more than a human being like you. He eats from what you eat, and drinks as you drink. |[Sura 23:33]
"If you obey a human being like you, then you are really losers. |[Sura 23:34]
"Does he promise you that, after you die and turn into dust and bones, you will come out again? |[Sura 23:35]
"Impossible, impossible indeed is what is promised to you. |[Sura 23:36]
"We only live this life-we live and die-and we will never be resurrected. |[Sura 23:37]
 "He is just a man who fabricated lies and attributed them to GOD. We will never believe him." |[Sura 23:38]
He said, "My Lord, grant me victory, for they  have disbelieved me." |[Sura 23:39]
He said, "Soon they will be sorry." |[Sura 23:40]
The retribution struck them, equitably, and thus, we turned them into ruins. The wicked people perished. |[Sura 23:41]
Subsequently, we established other generations after them.|[Sura 23:42]
No community can advance its predetermined fate, nor delay it. |[Sura 23:43]
Then we sent our messengers in succession. Every time a messenger  went to his community, they disbelieved him. Consequently,  we annihilated them, one after the other, and made them history.  The people who disbelieved have perished. |[Sura 23:44]
Then we sent Moses and his brother Aaron with our revelations and a profound proof. |[Sura 23:45]
To Pharaoh and his elders, but they turned arrogant. They were oppressive people. |[Sura 23:46]
They said, "Shall we believe for two men whose people are our slaves?" |[Sura 23:47]
They rejected the two, and conse- quently, they were annihilated. |[Sura 23:48]
We gave Moses the scripture, that they may be guided. |[Sura 23:49]
We made the son of Mary and his mother a sign, and we gave them refuge on a mesa with food and drink. |[Sura 23:50]
O you messengers, eat from the good provisions, and work righteousness. I am fully aware of everything you do. |[Sura 23:51]
Such is your congregation-one con- gregation-and I am your Lord; you shall reverence Me. |[Sura 23:52]
But they tore themselves into disputing factions; each party happy with what they have. |[Sura 23:53]
Therefore, just leave them in their confusion, for awhile. |[Sura 23:54]
Do they think that, since we provided them with money and children, |[Sura 23:55]
we must be showering them with blessings? Indeed, they have no idea. |[Sura 23:56]
Surely, those who are reverently conscious of their Lord, |[Sura 23:57]
And who believe in the revelations of their Lord, |[Sura 23:58]
And who never set up any idols beside their Lord,|[Sura 23:59]
As they give their charities, their hearts are fully reverent. For they recognize that they will be summoned before their Lord, |[Sura 23:60]
They are eager to do righteous works; they compete in doing them. |[Sura 23:61]
We never burden any soul beyond its means, and we keep a record that utters the truth. No one will suffer injustice. |[Sura 23:62]
Because their minds are oblivious to this, they commit works that do not conform with this; their works are evil. |[Sura 23:63]
Then, when we requite their leaders with retribution, they complain. |[Sura 23:64]
Do not complain now; you have given up all help from us. |[Sura 23:65]
My proofs have been presented to you, but you turned back on your heels. |[Sura 23:66]
You were too arrogant to accept them, and you defiantly disregarded them. |[Sura 23:67]
Why do they not reflect upon this scripture? Do they not realize that they have received something never attained by their ancestors? |[Sura 23:68]
Have they failed to recognize their messenger? Is this why they are disregarding him? |[Sura 23:69]
Have they decided that he is crazy? Indeed, he has brought the truth to them, but most of them hate the truth. |[Sura 23:70]
Indeed, if the truth conformed to their wishes,  there would be chaos in the heavens and the earth;  everything in them would be corrupted. We have given them their proof,  but they are disregarding their proof. |[Sura 23:71]
Are you asking them for a wage? Your Lord's wage is far better. He is the best Provider. |[Sura 23:72]
Most assuredly, you are inviting them to a straight path. |[Sura 23:73]
Those who disbelieve in the Hereafter will surely deviate from  the right path.|[Sura 23:74]
Even when we showered them with mercy, and relieved their problems, they plunged deeper into transgression, and continued to blunder. |[Sura 23:75]
Even when we afflicted them with retribution, they never turned to their Lord imploring. |[Sura 23:76]
Subsequently, when we requited them with the severe retribution they had incurred, they were shocked. |[Sura 23:77]
He is the One who granted you the hearing, the eyesight,  and the brains. Rarely are you appreciative. |[Sura 23:78]
He is the One who established you on earth, and before Him you will be summoned. |[Sura 23:79]
He is the One who controls life and death, and He is the One who alternates the night and day. Do you not understand? |[Sura 23:80]
They said what their ancestors said. |[Sura 23:81]
They said, "After we die and become dust and bones, we get resurrected? |[Sura 23:82]
"Such promises were given to us and to our parents in the past. These are no more than tales from the past." |[Sura 23:83]
Say, "To whom belongs the earth and everyone on it, if you know?" |[Sura 23:84]
They will say, "To GOD." Say, "Why then do you not take heed?" |[Sura 23:85]
Say, "Who is the Lord of the seven universes; the Lord of the great dominion?" |[Sura 23:86]
They will say, "GOD." Say, "Why then do you not turn righteous?" |[Sura 23:87]
Say, "In whose hand is all sovereignty over all things, and He is the only one who can provide help, but needs no help,  if you know?" |[Sura 23:88]
They will say, "GOD." Say, "Where did you go wrong?" |[Sura 23:89]
We have given them the truth,  while they are liars. |[Sura 23:90]
GOD has never begotten a son.  Nor was there ever any  other god beside Him. Otherwise, each god would have  declared independence with his creations, and they would have competed with each other for dominance. GOD be glorified; far above their claims. |[Sura 23:91]
The Knower of all secrets and declarations; be He exalted, far above having a partner.  |[Sura 23:92]
Say, "My Lord, whether You show me (the retribution)  they have incurred [or not], |[Sura 23:93]
"My Lord, let me not be one of the transgressing people." |[Sura 23:94]
To show you (the retribution) we have reserved for them is something we can easily do. |[Sura 23:95]
Therefore, counter their evil works with goodness; we are fully aware of their claims. |[Sura 23:96]
Say, "My Lord, I seek refuge in  You from the whispers of the devils. |[Sura 23:97]
"And I seek refuge in You, my  Lord, lest they come near me." |[Sura 23:98]
When death comes to one of them, he says, "My Lord, send me back. |[Sura 23:99]
"I will then work righteousness in everything I left." Not true. This is a false claim that he makes. A bar- rier will separate his soul from this  world until resurrection. |[Sura 23:100]
When the horn is blown, no relations among them will exist on  that day, nor will they care about one another. |[Sura 23:101]
As for those whose weights are heavy, they will be the winners. |[Sura 23:102]
Those whose weights are light are the ones who lost their souls; they abide in Hell forever. |[Sura 23:103]
Fire will overwhelm their faces, and they last miserably therein.|[Sura 23:104]
Were not My revelations recited to you,  and you kept on rejecting them?   |[Sura 23:105]
They will say, "Our Lord, our wickedness overwhelmed us, and we were people gone astray. |[Sura 23:106]
"Our Lord, take us out of this;  if we return (to our old behavior), then we are really wicked." |[Sura 23:107]
He will say, "Abide therein, humiliated,  and do not speak to Me. |[Sura 23:108]
"A group of My servants used to say, `Our Lord, we have believed, so forgive us and shower us with mercy. Of all the merciful ones, You are the Most Merciful.' |[Sura 23:109]
"But you mocked and ridiculed them, to the extent that you forgot Me. You used to laugh at them. |[Sura 23:110]
"I have rewarded them today, in return for their steadfastness, by making them the winners." |[Sura 23:111]
He said, "How long have you lasted on earth? How many years?" |[Sura 23:112]
They said, "We lasted a day or part of a day. Ask those who counted." |[Sura 23:113]
He said, "In fact, you stayed but a brief interim, if you only knew. |[Sura 23:114]
"Did you think that we created you in vain; that you were not to be returned to us?" |[Sura 23:115]
Most exalted is GOD, the true Sovereign. There is no other god beside Him; the Most Honorable Lord, possessor of all authority. |[Sura 23:116]
Anyone who idolizes beside GOD any other god, and without any kind of proof, his reckoning rests with his Lord. The disbelievers never succeed. |[Sura 23:117]
Say, "My Lord, shower us with forgiveness and mercy. Of all the merciful ones, You are the Most Merciful."|[Sura 23:118]
A sura that we have sent down, and we have decreed as law. We have revealed in it clear revelations, that you may take heed. Adultery |[Sura 24:1]
The adulteress and the adulterer you shall whip each of them a hundred lashes. Do not be swayed by pity from carrying out GOD's law, if you truly believe in GOD and the Last Day. And let a group of believers witness their penalty. |[Sura 24:2]
The adulterer will end up marrying an adulteress or an idol worshiper, and the adulteress will end up marrying an adulterer or an idol worshiper. This is prohibited for the believers. |[Sura 24:3]
Those who accuse married women of adultery, then fail to produce four witnesses, you shall whip them eighty lashes, and do not accept any testimony from them; they are wicked. |[Sura 24:4]
If they repent afterwards and reform, then GOD is Forgiver, Merciful. |[Sura 24:5]
As for those who accuse their own spouses, without any other witnesses, then the testimony may be accepted if he swears by GOD four times  that he is telling the truth. |[Sura 24:6]
The fifth oath shall be to incur GOD's condemnation  upon him, if he was lying. |[Sura 24:7]
She shall be considered innocent if she swears by GOD four times that he is a liar. |[Sura 24:8]
The fifth oath shall incur GOD's wrath upon her if  he was telling the truth. |[Sura 24:9]
This is GOD's grace and mercy towards you. GOD  is Redeemer, Most Wise. |[Sura 24:10]
A gang among you produced a big lie.  Do not think that it was bad for you; instead, it was good for you.  Meanwhile, each one of them has earned his share of the guilt. As for the one  who initiated the whole incident, he has incurred a terrible retribution. |[Sura 24:11]
When you heard it, the believing men  and the believing women should  have had better thoughts about themselves,  and should have said, "This is obviously a big lie." |[Sura 24:12]
Only if they produced four witnesses (you may believe them). If they fail to produce the witnesses, then they are, according to GOD, liars. |[Sura 24:13]
